ID,Beschreibung,Kategorie ID,Kategorietext,Unterkategorie ID,Unterkategorietext,Ticket Label,Abteilung Label,Produkt Label,Priorität,Status,Angelegt Am,Angelegt Von,Geändert Am,Geändert Von,Auftraggeber,Meldender,Support Team,Bearbeiter,Erste Nachricht,Letzte Nachricht
2000015004,SAP HANA für die nächste Zeit kündbar? ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_VTR ,Vertrag ,2. Level ,Vertrag , ,3: mittel ,E0008 Quittiert ,2024.01.23	11:32:47,H2901RW1 ,2024.01.25	16:52:40,H2901RW1 ,H2901 Technische Hochschule Nürnberg Georg Simon Ohm ,H2901RW1 Herr Rainer Weber ,0000000048 SEK Verwaltung ,H2851CS3 Frau Christine Starflinger,2024.01.23	11:32:47,2024.01.25	15:06:08
2000015005,Your domain is not trusted. ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SON ,Sonstiges ,1. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.01.23	12:21:25,U2GB050DP1 ,2024.02.12	18:00:47,BORYS ,U2GB050 Ulster University ,U2GB050DP1 Herr David Pettigrew ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.23	12:21:25,2024.02.12	18:00:47
2000015006,Rest the password for all admin accounts,ZSD_SR_SIM ,SAP ERPsim ,ZSD_SR_SIM_PRM ,Passwortrücksetzung für ERPSim-User ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.23	12:22:19,U2GB004AF1 ,2024.02.12	18:00:47,BORYS ,U2GB004 Lancaster University ,U2GB004AF1 Herr Amjad Fayoumi ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.23	12:22:19,2024.02.12	18:00:47
2000015007,Connection issue ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.23	13:32:21,H2851US4 ,2024.02.12	18:00:48,BORYS ,U2PL035 International University of Logistics and Transport in Wroclaw ,U2PL035PB1 Frau Patrycja Bill ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.01.23	13:32:20,2024.02.12	18:00:48
2000015008,Popup Fenster bei Login SAP S/4 Hana ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SE ,System Erreichbarkeit ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.23	15:38:57,H2952TW1 ,2024.02.13	18:00:36,BORYS ,H2952 Hochschule für Angewandte Wissenschaften Hof ,H2952TW1 Frau Tina Wiegand ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.01.23	15:38:57,2024.02.13	18:00:36
2000015009,SAP Add on mit Freigabe ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.23	16:30:01,H2891MP1 ,2024.02.25	18:00:06,BORYS ,H2891 Hochschule Neu-Ulm ,H2891MP1 Herr Max Priester ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.01.23	16:30:01,2024.02.25	18:00:06
2000015010,Client reset ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_MR ,Mandantenrücksetzung ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.23	17:03:34,H2851US4 ,2024.02.13	18:00:37,BORYS ,U2GB014DO1 David Oyebisi ,U2GB014DO1 Herr David Oyebisi ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.01.23	17:03:33,2024.02.13	18:00:37
2000015011,Get into SAP Fiori from new system S77 ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.23	17:46:27,U2ES024CO1 ,2024.01.26	13:56:50,H2851NB3 ,U2ES024 University Carlos III of Madrid - uc3m ,U2ES024CO1 Frau Celia Zarraga Oberty ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.23	17:46:27,2024.01.25	13:25:56
2000015012,Portfreigabe ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation ,Sonstiges ,2: hoch ,E0008 Quittiert ,2024.01.23	19:20:18,H2891MP1 ,2024.02.13	18:00:34,BORYS ,H2891 Hochschule Neu-Ulm ,H2891MP1 Herr Max Priester ,0000000047 APP Applikation ,H2851PL1 Herr Philipp Landler,2024.01.23	19:20:18,2024.02.13	18:00:34
2000015013,DRINGEND: S77 Fiori Launchpad Fehler ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SE ,System Erreichbarkeit ,1. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.24	09:04:35,H2861HR1 ,2024.02.13	18:00:33,BORYS ,H2861 Hochschule Augsburg ,H2861HR1 Herr Harald Röser ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.24	09:04:34,2024.02.13	18:00:33
2000015014,S-User-Kennung ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SU ,S-User ,1. Level ,Applikation ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.01.24	09:31:29,H2501DS1 ,2024.02.13	18:00:34,BORYS ,H2501 Bundesfinanzakademie BFA Brühl vertragsführende Stelle: ITZ Bund Bonn ,H2501DS1 Herr Dieter Scheppers ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.24	09:31:29,2024.02.13	18:00:34
2000015015,Incorrect Sales District Case Instruct ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_FP ,Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.24	14:30:27,U2GB041GK1 ,2024.02.13	18:00:35,BORYS ,U2GB041 University of Greenwich ,U2GB041GK1 Herr Gerhard Kristandl ,0000000047 APP Applikation ,H2851PL1 Herr Philipp Landler,2024.01.24	14:30:27,2024.02.13	18:00:35
2000015016,keine Systemereichbarkeit ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,1. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.24	14:31:49,H2852RS1 ,2024.02.13	18:00:36,BORYS ,H2852 Technikerschule der Stadt Ingolstadt - TSIN ,H2852RS1 Frau Regina Herzog ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.24	14:31:49,2024.02.13	18:00:36
2000015017,Contract Renewal for BINUS ,ZSD_SR_KTV ,Verwaltung , , ,2. Level ,Vertrag ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.01.25	05:25:06,U2AU002SB1 ,2024.02.25	18:00:06,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000000044 UCC UCC Supportteam ,H2851PL1 Herr Philipp Landler,2024.01.25	05:25:06,2024.02.25	18:00:06
2000015018,Request a GBI 4.1 client for UIFEB ,ZSD_SR_KTV ,Verwaltung , , ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.25	06:29:46,U2AU002SB1 ,2024.02.18	18:00:50,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000000047 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.01.25	06:29:46,2024.02.18	18:00:50
2000015019,S-User ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SU ,S-User ,1. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.01.25	10:01:49,H2831AK1 ,2024.02.14	18:00:37,BORYS ,H2831 Technische Hochschule Rosenheim ,H2831AK1 Herr Andreas Krüger ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.25	10:01:48,2024.02.14	18:00:37
2000015020,Allgemeine Frage zu Entwicklerrechten ,ZSD_SR_ES ,SAP ERP Entwicklungssystem ,ZSD_SR_ES_SON ,Sonstiges ,2. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.01.25	10:18:44,H2831AK1 ,2024.02.18	18:00:52,BORYS ,H2831 Technische Hochschule Rosenheim ,H2831AK1 Herr Andreas Krüger ,0000000047 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.01.25	10:18:43,2024.02.18	18:00:51
2000015021,System nicht erreichbar ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SE ,System Erreichbarkeit ,1. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.01.25	11:41:54,H2831AK1 ,2024.02.14	18:00:37,BORYS ,H2831 Technische Hochschule Rosenheim ,H2831AK1 Herr Andreas Krüger ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.25	11:41:53,2024.02.14	18:00:37
2000015022,Passwortrücksetzung für Masteruser ,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_PRM ,Passwortrücksetzung für Masteruser ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.25	18:37:19,H2914MB1 ,2024.02.15	18:00:06,BORYS ,H2914 Fachschule für Techniker der Stadt Erlangen ,H2914MB1 Frau Monika Braun'Deutschland ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.25	18:37:19,2024.02.15	18:00:06
2000015023,Problems creating account for students ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_HUS ,H/U-User für Studenten ,2. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.01.26	12:58:51,U2ES024CO1 ,2024.03.05	14:31:34,H2851NB3 ,U2ES024 University Carlos III of Madrid - uc3m ,U2ES024CO1 Frau Celia Zarraga Oberty ,0000040551 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.26	12:58:51,2024.01.26	14:38:32
2000015024,Zugriff auf Lehrunterlagen für Lektor ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_HUD ,H/U-User für Dozenten ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.26	13:16:33,U2AT001MÖ1 ,2024.03.06	18:00:07,MASTER-ADM ,U2AT001 Technische Universität Wien ,U2AT001MÖ1 Herr Martin öhlknecht ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.01.26	13:16:33,2024.03.06	18:00:07
2000015025,Curriculum download von Fiori aus ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,1. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.01.27	12:02:52,H2952BB1 ,2024.02.01	17:02:45,H2952BB1 ,H2952 Hochschule für Angewandte Wissenschaften Hof ,H2952BB1 Frau Brigitte Bärnreuther ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.27	12:02:51,2024.02.01	04:46:20
2000015026,Mandant SAP S/4HANA Retail für SoSe 2024,ZSD_SR_ISR ,IS Retail System ,ZSD_SR_ISR_MR ,Mandantenrücksetzung ,2. Level ,Basis ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.01.28	11:06:01,H2283HJ1 ,2024.02.28	18:00:08,BORYS ,H2283 Hochschule Bremen HSB ,H2283HJ1 Herr Harmen Jelten ,0000000046 BAS Basis ,H2851SF2 Herr Simon Fuchs,2024.01.28	11:06:01,2024.02.28	18:00:08
2000015027,Client refresh request for UMDP ,ZSD_SR_HANA ,SAP HANA , , ,2. Level ,Applikation ,HANA ,3: mittel ,E0008 Quittiert ,2024.01.29	05:37:19,U2AU002SB1 ,2024.03.13	18:00:14,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000040551 APP Applikation ,H2851KH1 Frau Kerstin Haug,2024.01.29	05:37:19,2024.03.13	18:00:14
2000015028,Renewal ITE College Singapore ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_VTR ,Vertrag ,2. Level ,Vertrag ,Sonstiges ,3: mittel ,E0010 Zurückgezogen ,2024.01.29	14:21:47,H2851CS3 ,2024.01.29	14:37:01,H2851CS3 ,H2851 Technische Universität München ,H2851CS3 Frau Christine Starflinger ,0000000048 SEK Verwaltung ,H2851CS3 Frau Christine Starflinger,2024.01.29	14:21:47,2024.01.29	14:21:47
2000015029,GB New Version ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.29	15:01:33,H2851US4 ,2024.03.09	18:00:18,MASTER-ADM ,H2561 Hochschule Koblenz ,H2561SZ1 Herr Stephan Zacharias ,0000000047 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.01.29	15:01:33,2024.03.09	18:00:18
2000015030,Zugänge Demosystem ,ZSD_SR_TERP ,TERP 10 ,ZSD_SR_TERP_SON ,Sonstiges ,2. Level ,Applikation ,TS410 ,3: mittel ,E0008 Quittiert ,2024.01.29	17:49:00,H2671TM1 ,2024.03.13	18:00:15,MASTER-ADM ,H2671 Hochschule Worms ,H2671TM1 Herr Tobias Meyer ,0000000044 UCC UCC Supportteam ,H2851AF4 Frau Ann-Christin Fleischle,2024.01.29	17:49:00,2024.03.13	18:00:15
2000015031,App startet nicht ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_FP ,Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.29	19:22:59,H2241TS1 ,2024.01.30	16:18:41,H2241TS1 ,H2241 Hochschule Flensburg ,H2241TS1 Herr Thomas Schmidt ,0000000047 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.01.29	19:22:59,2024.01.30	15:49:49
2000015032,Request ERPsim client for FPT ,ZSD_SR_KTV ,Verwaltung , , ,2. Level ,Vertrag ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.01.30	02:59:30,U2AU002SB1 ,2024.02.22	11:16:51,H2851CS3 ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000000048 SEK Verwaltung ,H2851CS3 Frau Christine Starflinger,2024.01.30	02:59:30,2024.02.05	03:30:38
2000015033,Systemrücksetzung ,ZSD_SR_ES ,SAP ERP Entwicklungssystem ,ZSD_SR_ES_SR ,Systemrücksetzung ,2. Level ,Applikation ,Entwicklungssystem bzw. Mandant ,3: mittel ,E0008 Quittiert ,2024.01.30	09:03:56,H2481KG2 ,2024.03.10	18:00:22,BORYS ,H2481 FH Münster ,H2481KG2 Frau Kerstin Gerke ,0000040551 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.01.30	09:03:55,2024.03.10	18:00:22
2000015034,Administration User ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SON ,Sonstiges ,1. Level ,Applikation ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.01.30	10:14:56,H2503CH1 ,2024.02.19	18:00:15,BORYS ,H2503 Rheinische Hochschule Köln ,H2503CH1 Herr Christoph Heinrich ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.30	10:14:56,2024.02.19	18:00:15
2000015035,Masterpasswort ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_PRM ,Passwortrücksetzung für Masteruser ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.30	12:49:20,H2854LV1 ,2024.02.21	18:00:24,BORYS ,H2854 Universität der Bundeswehr München ,H2854LV1 Frau Lisa Verlande ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.01.30	12:49:20,2024.02.21	18:00:24
2000015036,Adjustment of Data in ERP ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.30	14:22:55,H2952PM1 ,2024.02.22	18:01:01,BORYS ,H2952 Hochschule für Angewandte Wissenschaften Hof ,H2952PM1 Herr Paul Molenda ,0000000044 UCC UCC Supportteam ,H2851PL1 Herr Philipp Landler,2024.01.30	14:22:55,2024.02.22	18:01:01
2000015037,Assign S25/303 for Brawijaya University ,ZSD_SR_KTV ,Verwaltung , , ,2. Level ,Vertrag ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.01.31	05:39:44,U2AU002SB1 ,2024.02.28	18:00:08,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000000044 UCC UCC Supportteam ,H2851NW2 Frau Nathalie Wolf,2024.01.31	05:39:44,2024.02.28	18:00:08
2000015038,Request GBI clients for UIIFEC ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,2. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.02.01	03:13:10,U2AU002SB1 ,2024.02.21	18:00:24,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000000047 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.01	03:13:10,2024.02.21	18:00:24
2000015039,Users for remote conection ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_HUD ,H/U-User für Dozenten ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.01	20:09:38,U2RO007FM1 ,2024.03.05	14:39:14,H2851NB3 ,U2RO007 The Bucharest University of Economic Studies ,U2RO007FM1 Herr Florin Mihai ,0000000044 UCC UCC Supportteam ,H2851NB3 Frau Niluefer Faizan,2024.02.01	20:09:38,2024.02.02	08:09:01
2000015040,Änderung des Ansprechpartner ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_VTR ,Vertrag ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.02	08:00:35,H2445AA1 ,2024.02.29	18:00:08,BORYS ,H2445 Klaus-Steilmann-Berufskolleg ,H2445AA1 Herr Ali Esref Arslan ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.02.02	08:00:35,2024.02.29	18:00:08
2000015041,Reset-Anfrage Mandant 300 ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_MR ,Mandantenrücksetzung ,2. Level , , ,2: hoch ,E0008 Quittiert ,2024.02.02	09:38:33,H2741NT1 ,2024.03.17	18:00:10,BORYS ,H2741 Hochschule Heilbronn ,H2741NT1 Herr n/v T-User Hochschule Heilbronn ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.02.02	09:38:32,2024.03.17	18:00:10
2000015042,Access Issue to Customer Self-Service ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_HUD ,H/U-User für Dozenten ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.02	11:27:31,U2RO007FM1 ,2024.02.22	18:01:02,BORYS ,U2RO007 The Bucharest University of Economic Studies ,U2RO007FM1 Herr Florin Mihai ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.02.02	11:27:31,2024.02.22	18:01:02
2000015043,Global Bike Go - Production ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.02	14:18:23,H2852RS1 ,2024.03.05	14:38:54,H2851NB3 ,H2852 Technikerschule der Stadt Ingolstadt - TSIN ,H2852RS1 Frau Regina Herzog ,0000040551 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.02.02	14:18:23,2024.02.02	15:26:15
2000015044,SD 3 Anzeigen Auslieferungsbeleg unmögl.,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.04	20:24:30,H2852RS1 ,2024.02.25	18:00:07,BORYS ,H2852 Technikerschule der Stadt Ingolstadt - TSIN ,H2852RS1 Frau Regina Herzog ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.04	20:24:30,2024.02.25	18:00:07
2000015045,Rücksetzung Mandant 304 des Systems S81 ,ZSD_SR_HANA ,SAP HANA ,ZSD_SR_HANA_SON ,Sonstiges ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.05	10:19:00,H2452JP1 ,2024.02.13	13:12:02,H2452JP1 ,H2452 FOM Hochschule Essen ,H2452JP1 Herr Jürgen Propach ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.02.05	10:19:00,2024.02.06	09:58:38
2000015046,Master User Details Required ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_PRM ,Passwortrücksetzung für Masteruser ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.06	16:46:42,U2GB009LD1 ,2024.02.26	18:00:06,BORYS ,U2GB009 University of Central Lancashire - UCLAN - School of Business ,U2GB009LD1 Frau Laura Dobbins ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.02.06	16:46:40,2024.02.26	18:00:06
2000015047,Rücksetzung Mandant 302 des Systems S81 ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SR ,Systemrücksetzung ,2. Level ,Applikation ,GBI ,2: hoch ,E0008 Quittiert ,2024.02.06	20:50:50,H2452JP1 ,2024.02.14	08:45:45,H2851US4 ,H2452 FOM Hochschule Essen ,H2452JP1 Herr Jürgen Propach ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.06	20:50:50,2024.02.14	08:45:30
2000015048,SAP Zugangsdaten ,ZSD_SR_GUI ,SAP GUI , , ,2. Level ,Basis ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.02.07	12:55:53,H2503SG2 ,2024.02.29	18:00:11,BORYS ,H2503 Rheinische Hochschule Köln ,H2503SG2 Herr Stefan Genz ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.02.07	12:55:53,2024.02.29	18:00:11
2000015049,Customer Self-Service keine Apps ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_EMEA ,EMEA Portal / UAC ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.07	15:37:48,H2561CS2 ,2024.02.27	18:00:05,BORYS ,H2561 Hochschule Koblenz ,H2561CS2 Frau Caroline Selsam ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.07	15:37:48,2024.02.27	18:00:05
2000015050,Assign S25/300 to Temasek Polytechnic ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.02.08	07:07:45,U2AU002SB1 ,2024.03.20	18:00:17,MASTER-ADM ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.08	07:07:45,2024.03.20	18:00:17
2000015051,Problem with logon toy system S87 ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SON ,Sonstiges ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.08	10:19:41,U2GR001AG1 ,2024.02.29	18:00:10,BORYS ,U2GR001 University of Piraeus ,U2GR001AG1 Frau Aggeliki Gerondi ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.02.08	10:19:41,2024.02.29	18:00:10
2000015052,Rücksetzung Mandant 302 des Systems S81 ,ZSD_SR_HANA ,SAP HANA ,ZSD_SR_HANA_SON ,Sonstiges ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.08	16:39:47,H2452JP1 ,2024.02.12	16:00:38,H2851US4 ,H2452 FOM Hochschule Essen ,H2452JP1 Herr Jürgen Propach ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.02.08	16:39:47,2024.02.12	16:00:20
2000015053,I93 Passwortrücksetzung MASTER & H-User ,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_PRM ,Passwortrücksetzung für Masteruser ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.08	17:52:43,H2851US4 ,2024.02.28	18:00:09,BORYS ,H2404 Berufskolleg Hilden ,H2404AK1 Frau Anne Kurtz ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.08	17:52:42,2024.02.28	18:00:09
2000015054,Accruals Engine nicht verfügbar? ,ZSD_SR_S4HANA ,SAP S/4 HANA ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Basis , ,3: mittel ,E0008 Quittiert ,2024.02.09	08:34:32,H2831AK1 ,2024.03.17	18:00:12,BORYS ,H2831 Technische Hochschule Rosenheim ,H2831AK1 Herr Andreas Krüger ,0000040551 APP Applikation ,H2851PL1 Herr Philipp Landler,2024.02.09	08:34:32,2024.03.17	18:00:12
2000015055,Masterpasswort Rücksetzung ,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_PRM ,Passwortrücksetzung für Masteruser ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.09	12:20:41,H2851US4 ,2024.02.29	18:00:10,BORYS ,H2637 Kaufmännische Schulen Hanau ,H2637IF1 Frau Irina Fornauf ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.02.09	12:20:40,2024.02.29	18:00:10
2000015056,Bitte um Entwicklerschlüssel ,ZSD_SR_S4HANA ,SAP S/4 HANA ,ZSD_SR_S4HANA_EB ,Entwicklerschlüssel beantragen ,1. Level ,Applikation ,Entwicklungssystem bzw. Mandant ,3: mittel ,E0008 Quittiert ,2024.02.09	13:20:17,H2901RW1 ,2024.03.10	18:00:19,BORYS ,H2901 Technische Hochschule Nürnberg Georg Simon Ohm ,H2901RW1 Herr Rainer Weber ,0000040551 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.02.09	13:20:17,2024.03.10	18:00:19
2000015057,SAP GUI Mac Installation ,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_SON ,Sonstiges ,1. Level ,Applikation ,SAP4School ,3: mittel ,E0008 Quittiert ,2024.02.09	14:01:21,H2851US4 ,2024.02.29	18:00:11,BORYS ,U2ES030 FEDA-Barcelona ,U2ES030KJ1 Frau Kathleen Jahn ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.09	14:01:20,2024.02.29	18:00:11
2000015058,Probleme mit Rücksetzung ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SR ,Systemrücksetzung ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.10	15:11:54,H2831AK1 ,2024.03.03	18:00:05,BORYS ,H2831 Technische Hochschule Rosenheim ,H2831AK1 Herr Andreas Krüger ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.02.10	15:11:54,2024.03.03	18:00:05
2000015059,Error while users login ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI/GBS Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.11	13:51:06,U2GR006SG1 ,2024.02.29	08:59:41,H2851NB3 ,U2GR006 National Technical University of Athens - NTUA ,U2GR006SG1 Herr Sotiris Gayialis ,0000040551 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.02.11	13:51:05,2024.02.29	08:59:35
